"full_name","url","description","language","stars","forks","archived","created_at","updated_at","pushed_at","topics"
"dtcrompton/tasmania-deforestation-detection","https://github.com/dtcrompton/tasmania-deforestation-detection","Deep learning for illegal deforestation detection in Tasmanian old-growth forests using Sentinel-2 satellite imagery","Python","0","0","False","2026-03-09T12:11:33Z","2026-04-07T02:55:51Z","2026-04-07T02:55:48Z",""
"DepyScrewball/1967-Tasmanian-fires","https://github.com/DepyScrewball/1967-Tasmanian-fires",,,"0","0","False","2014-08-11T01:08:46Z","2014-08-11T01:08:46Z","2014-08-11T01:08:46Z",""
"luuDuyDinh/WildSafe_Tasmania","https://github.com/luuDuyDinh/WildSafe_Tasmania","First Architect Commit","JavaScript","0","0","False","2026-01-26T12:43:10Z","2026-03-10T16:35:51Z","2026-01-26T12:43:17Z",""
"mkstoyanov/tasmanian_aux_files","https://github.com/mkstoyanov/tasmanian_aux_files","Tasmanina related files that don't need history",,"0","0","False","2022-10-26T14:10:45Z","2022-10-26T14:10:45Z","2022-10-26T14:28:52Z",""
"Kathy0106/KM--2026tasmania","https://github.com/Kathy0106/KM--2026tasmania",,"HTML","0","0","False","2026-01-12T09:50:09Z","2026-04-10T09:22:48Z","2026-04-10T09:22:44Z",""
"davidnvt/The-Tasmanian-tiger-","https://github.com/davidnvt/The-Tasmanian-tiger-",,"HTML","0","0","False","2026-04-30T02:21:08Z","2026-04-30T02:21:41Z","2026-04-30T02:21:37Z",""
"taziedevil/tasmania-real-estate-map","https://github.com/taziedevil/tasmania-real-estate-map",,"HTML","0","0","False","2025-05-02T03:48:32Z","2025-05-06T03:48:10Z","2025-05-06T03:48:07Z",""
"Aryan-Jhaveri/GetEmmaToTasmania","https://github.com/Aryan-Jhaveri/GetEmmaToTasmania","A flight price tracker for emma","Python","0","0","False","2026-03-21T22:50:35Z","2026-03-22T15:51:31Z","2026-03-22T15:51:28Z",""
"peter-job/tasmanian-pioneer-index","https://github.com/peter-job/tasmanian-pioneer-index",,,"0","0","False","2026-02-01T06:39:34Z","2026-02-01T06:51:58Z","2026-02-01T06:51:55Z",""
"ShortWaffles163/Speed-of-Sound-Tasmania","https://github.com/ShortWaffles163/Speed-of-Sound-Tasmania","A graph of data points made from our practical","Python","0","0","False","2025-07-25T00:19:25Z","2025-07-25T00:22:51Z","2025-07-25T00:22:47Z",""
"530530530/North-Tasmania-Fishing-Charters","https://github.com/530530530/North-Tasmania-Fishing-Charters",,"HTML","0","0","False","2025-05-14T09:56:57Z","2025-05-15T09:27:42Z","2025-05-15T09:19:29Z",""
"julesdierckx/MDA-Project-Team-Tasmania","https://github.com/julesdierckx/MDA-Project-Team-Tasmania",,"Jupyter Notebook","0","0","False","2023-06-01T19:11:02Z","2023-06-03T09:44:20Z","2023-06-03T09:45:51Z",""
"djmango/tasmanian-central-intelligence","https://github.com/djmango/tasmanian-central-intelligence","My DIY smart home projects","Python","0","0","False","2022-06-08T16:12:59Z","2022-10-30T16:51:47Z","2022-06-08T18:02:07Z",""
"r-hub2/dissentious-aphidious-tasmaniandevil-Ryacas","https://github.com/r-hub2/dissentious-aphidious-tasmaniandevil-Ryacas","Created by R-hub","C++","0","0","False","2025-12-03T10:24:37Z","2025-12-03T15:43:51Z","2025-12-03T15:43:47Z",""
"vinmasci/lutruwita_map","https://github.com/vinmasci/lutruwita_map","Interactive mapping application for Tasmania - restructured version","TypeScript","0","0","False","2025-01-23T21:34:42Z","2025-01-23T22:33:18Z","2025-01-23T22:33:14Z",""
"Powered-Technical/Geocache-Spirit_of_Tasmania","https://github.com/Powered-Technical/Geocache-Spirit_of_Tasmania",,,"0","0","False","2025-08-13T04:11:36Z","2025-08-13T04:11:36Z","2025-08-13T04:11:36Z",""
"JuliaBinaryWrappers/Tasmanian_jll.jl","https://github.com/JuliaBinaryWrappers/Tasmanian_jll.jl",,"Julia","0","0","False","2023-11-03T11:51:27Z","2025-10-16T14:06:19Z","2025-10-16T14:06:27Z",""
"Jayden-Kearney/tasmania_species_app","https://github.com/Jayden-Kearney/tasmania_species_app","Open source cloud based web app visualising some of Tasmania's at risk species and the current threats they face","HTML","0","0","False","2025-10-12T00:21:45Z","2025-10-16T03:01:04Z","2025-10-16T03:00:59Z",""
"sylviapump/endemic-birds-of-tasmania","https://github.com/sylviapump/endemic-birds-of-tasmania",,,"0","0","False","2024-09-23T00:45:16Z","2024-09-23T00:45:23Z","2024-09-23T00:45:20Z",""
"r-hub2/dissentious-aphidious-tasmaniandevil-disclapmix","https://github.com/r-hub2/dissentious-aphidious-tasmaniandevil-disclapmix","Created by R-hub","R","0","0","False","2025-12-04T07:38:21Z","2025-12-04T14:00:28Z","2025-12-04T14:00:23Z",""
"chirayu12/RAP","https://github.com/chirayu12/RAP","Research Assessment Program for University of Tasmania ",,"0","0","False","2020-11-11T05:47:38Z","2020-11-11T05:48:12Z","2020-11-11T05:48:11Z",""
"olya457/HobartSecretsTasmaniaCounty","https://github.com/olya457/HobartSecretsTasmaniaCounty",,"TypeScript","0","0","False","2025-12-19T19:29:29Z","2025-12-22T22:50:32Z","2025-12-22T22:50:28Z",""
"forsalebyhomeownerau/FSBO-listings-in-Tasmania","https://github.com/forsalebyhomeownerau/FSBO-listings-in-Tasmania",,,"0","0","False","2025-07-18T12:46:48Z","2025-07-18T12:46:48Z","2025-07-18T12:46:48Z",""
"Aero-ComSci/final-project-tasmanian-tanglers","https://github.com/Aero-ComSci/final-project-tasmanian-tanglers","final-project-tasmanian-tanglers created by GitHub Classroom","Python","0","0","False","2025-05-27T18:53:35Z","2025-05-29T18:40:24Z","2025-05-29T18:40:20Z",""
"bluewingedsoul/EWE-MarinePredators-Tasmania","https://github.com/bluewingedsoul/EWE-MarinePredators-Tasmania","Extreme Weather Effects on Marine Predator Breeding Outcomes in a Global Climate Change Hotspot",,"0","0","False","2025-06-18T05:13:46Z","2025-06-18T05:15:31Z","2025-06-18T05:15:28Z",""
"profilecomputing/Tasmanian-Kitchen-Sign-Off","https://github.com/profilecomputing/Tasmanian-Kitchen-Sign-Off",,"SCSS","0","0","False","2023-08-29T06:46:30Z","2023-08-30T06:28:26Z","2023-08-30T11:37:18Z",""
"tommyslik/QANT0065_TourismTasmania","https://github.com/tommyslik/QANT0065_TourismTasmania",,"CSS","0","0","False","2016-08-15T08:02:18Z","2016-08-15T08:02:38Z","2017-02-28T01:15:08Z",""
"Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN","https://github.com/Ryan-Ashton/Identifying-Tasmanian-Tigers-CNN","Using Deep Learning to build a Tasmanian Tiger classifier","Jupyter Notebook","0","0","False","2023-02-17T05:47:03Z","2023-02-17T05:52:10Z","2024-04-05T23:37:11Z",""
"Jamzy01/tasmanian-bike-tours-website","https://github.com/Jamzy01/tasmanian-bike-tours-website",,"TypeScript","0","0","False","2023-06-27T06:39:09Z","2023-06-27T06:42:50Z","2023-06-28T04:55:06Z",""
"Ecosystem-Indicators-Workflows/tasmanian-bogs-water-balance","https://github.com/Ecosystem-Indicators-Workflows/tasmanian-bogs-water-balance",,"Jupyter Notebook","1","0","False","2025-09-26T04:00:55Z","2026-02-03T22:49:02Z","2025-09-26T04:01:00Z",""
"taitetaikid/The-Tasmanian-Pademelon-Hop","https://github.com/taitetaikid/The-Tasmanian-Pademelon-Hop",,,"0","0","False","2025-11-09T10:45:11Z","2025-11-09T10:45:12Z","2025-11-09T10:45:12Z",""
"Amilwickz/Ember_Project_University_of_Tasmania","https://github.com/Amilwickz/Ember_Project_University_of_Tasmania","Include all the python codes for various applications",,"0","0","False","2023-05-19T00:22:11Z","2023-05-19T00:22:12Z","2023-05-19T00:22:12Z",""
"MetalOctopus/Tasmanian-Geology-Map-Downloader","https://github.com/MetalOctopus/Tasmanian-Geology-Map-Downloader","A thingy to download all the maps from the Tasmanian Mineral Resources website","Python","0","0","False","2026-02-12T02:36:01Z","2026-02-12T08:11:44Z","2026-02-12T08:11:41Z",""
"r-hub2/dissentious-aphidious-tasmaniandevil-DNAtools","https://github.com/r-hub2/dissentious-aphidious-tasmaniandevil-DNAtools","Created by R-hub","R","0","0","False","2025-12-04T07:50:36Z","2025-12-04T13:46:23Z","2025-12-04T13:46:18Z",""
"taitetaikid/The-Tasmanian-Devil-Twist","https://github.com/taitetaikid/The-Tasmanian-Devil-Twist",,,"0","0","False","2025-10-12T04:06:48Z","2025-10-12T04:06:49Z","2025-10-12T04:06:49Z",""
"NEmath09/Tasmania-Minecraft-Mod-1.12","https://github.com/NEmath09/Tasmania-Minecraft-Mod-1.12","A minecraft 1.12.2 mod that adds lots of new, exiting things!",,"0","0","False","2020-04-14T18:54:14Z","2020-04-14T18:54:18Z","2020-04-14T18:54:16Z",""
"figo99FG/AWS-IoT-Tasmania","https://github.com/figo99FG/AWS-IoT-Tasmania",,,"0","0","False","2026-03-30T17:12:32Z","2026-04-29T23:09:20Z","2026-04-29T23:09:18Z",""
"Amino207/Tasmanian-grain-storage-network","https://github.com/Amino207/Tasmanian-grain-storage-network","Multi-site Cisco Packet Tracer network using OSPF, DHCP, DNS, firewall boundaries, and layered security for farm, transport, and storage coordination.",,"0","0","False","2026-03-31T22:00:38Z","2026-03-31T23:01:19Z","2026-03-31T23:01:15Z",""
